asset_id,profile_id,file_id,filename,mime_type,status,bytes
97446,253,39026,AST_IM_20220407_134147.jpeg,image/jpeg,skip,140525
97447,253,39020,AST_IM_20220407_125412.jpeg,image/jpeg,skip,106200
97448,253,39012,AST_IM_20220407_150906.jpeg,image/jpeg,skip,156610
97816,253,39164,AST_IM_20220412_145541.jpeg,image/jpeg,skip,101490
97816,253,39165,AST_IM_20220412_145603.jpeg,image/jpeg,skip,115759
97816,253,64950,AST_EX_20230516_133426.jpeg,image/jpeg,skip,96393
97817,253,39166,AST_IM_20220412_144940.jpeg,image/jpeg,skip,113652
97817,253,39167,AST_IM_20220412_144924.jpeg,image/jpeg,skip,117616
97817,253,64949,AST_EX_20230516_133152.jpeg,image/jpeg,skip,99724
97817,253,92613,AST_EX_20260217_155044.jpeg,image/jpeg,skip,140288
97906,253,39340,AST_IM_20220413_123907.jpeg,image/jpeg,skip,107559
97906,253,92632,AST_EX_20260217_150753.jpeg,image/jpeg,skip,131588
98336,253,40065,Fang Bridge.jpg,image/jpeg,skip,7146845
98336,253,40066,Fang Bridge 2.jpg,image/jpeg,skip,9094511
98492,253,40289,AST_IM_20220504_113908.jpeg,image/jpeg,skip,110180
98498,253,40292,AST_IM_20220504_112521.jpeg,image/jpeg,skip,109038
98531,253,40392,AST_IM_20220508_132058.jpeg,image/jpeg,skip,105718
99454,253,69180,AST_EX_20240605_103815.jpeg,image/jpeg,skip,148967
99454,253,69185,AST_EX_20240605_103754.jpeg,image/jpeg,skip,192181
99454,253,69187,AST_EX_20240605_103825.jpeg,image/jpeg,skip,197237
99454,253,83361,AST_EX_20250607_140751.jpeg,image/jpeg,skip,175209
99455,253,69184,AST_EX_20240605_104806.jpeg,image/jpeg,skip,163662
99457,253,69188,AST_EX_20240605_104154.jpeg,image/jpeg,skip,208208
99459,253,69183,AST_EX_20240605_102950.jpeg,image/jpeg,skip,167757
99459,253,69186,AST_EX_20240605_102501.jpeg,image/jpeg,skip,186557
99459,253,69189,AST_EX_20240605_102446.jpeg,image/jpeg,skip,197250
99459,253,83362,AST_EX_20250607_140519.jpeg,image/jpeg,skip,179547
