created,description,filename,mime_type,size,id,asset_id,profile_id
2021-10-16 19:12:45.680175+00,,AST_EX_20211016_115927.jpeg,image/jpeg,124700,27484,50770,253
2024-10-22 18:05:34.956444+00,,AST_EX_20241022_110404.jpeg,image/jpeg,150449,75427,50770,253
2024-10-22 18:05:35.086208+00,,AST_EX_20241022_110358.jpeg,image/jpeg,72197,75428,50770,253
2023-01-26 17:12:37.91404+00,,AST_EX_20230125_132741.jpeg,image/jpeg,89244,64545,50821,253
2023-01-26 17:12:37.917152+00,,AST_EX_20230125_132650.jpeg,image/jpeg,117628,64546,50821,253
2023-01-26 17:12:37.945018+00,,AST_EX_20230125_132724.jpeg,image/jpeg,116466,64551,50821,253
2023-01-26 17:12:37.94215+00,,AST_EX_20230125_153836.jpeg,image/jpeg,116326,64550,50822,253
2023-01-26 17:12:37.95435+00,,AST_EX_20230125_153855.jpeg,image/jpeg,122029,64554,50822,253
2022-07-07 20:43:42.993+00,bridge,IMG_9105.JPG,image/jpeg,3854696,52701,51214,253
2022-07-13 20:16:43.234+00,bridge,IMG_0522.JPG,image/jpeg,2825598,53526,51216,253
2025-05-20 15:32:29.459796+00,bridge from afar,PXL_20250516_172430392.MP.jpg,image/jpeg,9602798,82197,51216,253
2025-05-20 15:32:29.492924+00,stairs up to bridge,PXL_20250516_173001540.jpg,image/jpeg,6200331,82198,51216,253
2022-07-07 21:02:29.241+00,bridge,IMG_5946.JPG,image/jpeg,224547,52718,51218,253
2022-07-07 20:40:10.047+00,bridge,IMG_9096.JPG,image/jpeg,3595727,52699,51220,253
2024-10-31 17:15:20.682+00,RSB Engineering Condition Assessment - January 2nd 2024,K6818 Rainbow Bridge Condition Assessment - 2024-01-02 Sealed.pdf,application/pdf,5532727,76716,51224,253
2022-06-28 19:52:13.761823+00,bridge,IMG_9616.JPG,image/jpeg,4092740,50016,51233,253
2024-06-05 22:31:47.998559+00,,AST_EX_20240605_101523.jpeg,image/jpeg,146482,69177,51234,253
2024-06-05 22:31:48.005176+00,,AST_EX_20240605_101512.jpeg,image/jpeg,138059,69178,51234,253
2022-07-13 20:15:51.007+00,bridge,IMG_0520.JPG,image/jpeg,5137337,53525,51244,253
2025-05-20 15:39:38.54+00,renewed side,PXL_20250516_172924721.jpg,image/jpeg,5943429,82199,51244,253
2025-05-20 15:39:38.54+00,lean of bridge,PXL_20250516_172847032.jpg,image/jpeg,6363109,82200,51244,253
2025-05-20 15:39:38.54+00,logs rotting,PXL_20250516_172858758.jpg,image/jpeg,6872893,82201,51244,253
2024-06-28 22:19:41.45495+00,,AST_EX_20240628_104432.jpeg,image/jpeg,164962,70123,51248,253
2021-08-20 22:45:58.611295+00,,AST_EX_20210820_142024.jpeg,image/jpeg,563246,16914,51524,253
2021-08-20 22:45:49.883649+00,Elk Falls Suspension Bridge View Point,AST_EX_20210820_130254.jpeg,image/jpeg,808560,16890,51525,253
2025-01-21 17:57:09.256+00,Vegetation growth around footing (1),IMG_0050.JPEG,image/jpeg,1882025,78461,51525,253
2025-01-21 17:57:09.256+00,Vegetation growth around footing (2),IMG_0051.JPEG,image/jpeg,1607845,78462,51525,253
2025-01-21 17:57:09.256+00,Vegetation growth around footing (3),IMG_0052.JPEG,image/jpeg,2000132,78463,51525,253
2024-08-30 16:20:59.884+00,,IMG_0037[1].JPG,image/jpeg,7663660,73000,51526,253
2024-08-30 16:20:59.884+00,,IMG_0039[1].JPG,image/jpeg,8199960,73001,51526,253
2024-08-30 16:20:59.884+00,,IMG_0038[1].JPG,image/jpeg,5468866,73002,51526,253
2021-06-17 20:08:14.606454+00,,AST_EX_20210617_094137.jpeg,image/jpeg,437792,1112,51528,253
2021-08-26 22:50:11.812077+00,,AST_EX_20210826_131931.jpeg,image/jpeg,449053,18688,51528,253
2021-08-26 22:50:11.821658+00,,AST_EX_20210826_131825.jpeg,image/jpeg,490383,18689,51528,253
2021-08-26 22:50:11.825837+00,,AST_EX_20210826_131810.jpeg,image/jpeg,527143,18690,51528,253
