created,description,exclude_psab,ignore_threshold,is_aro_identified,is_aro_reviewed,is_contaminated,is_contributed,is_gov_transfer,is_heritage,is_import,is_leased,is_locked,is_recycled,is_water_service,is_wastewater_service,is_wip,is_works,historical_cost,name,profile_id,service_date,updated,valuation_cost,class_classification_id,category_classification_id,segment_classification_id,is_disposed,id,profile_id_used,profile_name,import_id
2022-07-27 15:16:36.347832+00,12 ft 7/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108789,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.295493+00,2 8x2 foot sections 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk,337,2022-07-25,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108790,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.308037+00,Beams 20 ft 8/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury side,337,2001-05-08,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108791,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.362567+00,16 ft 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108792,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.337024+00,"195 ft 4/10 needs repair, new boards",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury cabin,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108793,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.355378+00,2 8 ft 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108794,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.365967+00,3 8 foot sections 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,250.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108795,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.379616+00,15 8 ft sections 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,boardwalk Woodbury,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108796,337,Boardwalk < 1.2m High,
2022-07-27 15:16:36.366741+00,24 ft 6/10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Woodbury boardwalk cabin,337,2001-05-01,2026-04-28 08:50:10.685393+00,0.0,13184,21528,21529,False,108798,337,Boardwalk < 1.2m High,
2022-07-28 15:51:39.744171+00,Hoard to Lines - Boardwalk 6.  Has 5 elevation changes. 22metres long. Condition: 100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,450.0,Hoard to Lines - Boardwalk 6,337,2022-04-01,2026-04-28 08:50:10.685393+00,450.0,13184,21528,21529,False,109137,337,Boardwalk < 1.2m High,
